x,y,t,torque,steering_angle,long_vel,lat_vel,yaw_angle,yaw_rate,slip_angle_f,slip_angle_r,norm_load_f,norm_load_r,slip_angle_est_f,slip_angle_est_r,lat_for_f, lat_for_r,track_progress,error
0,0,1.56,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.57,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.58,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.59,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.6,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.61,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.62,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.63,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.64,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.65,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.66,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.67,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.68,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.69,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.7,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.71,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.72,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.73,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.74,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.75,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.76,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.77,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.78,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.79,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.8,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.81,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.82,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.83,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.84,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.85,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.86,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.87,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.88,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.89,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.9,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.91,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.92,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.93,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.94,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.95,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.96,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.97,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.98,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,1.99,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.01,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.02,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.03,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.04,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.05,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.06,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.07,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.08,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.09,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.1,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.11,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.12,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.13,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.14,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.15,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.16,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.17,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.18,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.19,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.2,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.21,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.22,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.23,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.24,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.25,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.26,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.27,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.28,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.29,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.3,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.31,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.32,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.33,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.34,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.35,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.36,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.37,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.38,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.39,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.4,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.41,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.42,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.43,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.44,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.45,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.46,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.47,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.48,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.49,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.5,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.51,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.52,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.53,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.54,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.55,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.56,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.57,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.58,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.59,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.6,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.61,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.62,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.63,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.64,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.65,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.66,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.67,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.68,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.69,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.7,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.71,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.72,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.73,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.74,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.75,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.76,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.77,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.78,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.79,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.8,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.81,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.82,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.83,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.84,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.85,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.86,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.87,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.88,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.89,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.9,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.91,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.92,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.93,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.94,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.95,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.96,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.97,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.98,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,2.99,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.01,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.02,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.03,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.04,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.05,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.06,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.07,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.08,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.09,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.1,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.11,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
0,0,3.12,0,0,0,0,0,0,1.17068e+214,9.24942e+199,1.36455e+161,1.50762e+161,9.47072e-154,2.20274e-152,1.39807e-152,2.7346e+161,0,0
